Evaluation Response,Final Question Response,Final Question Codes,OTT Codes
22,"1. In 20 years I would like to see Lexington as a thriving city with a vibrant urban core surrounded by the beautiful land that makes our region so unique and appealing.

2. More transportation options that travel to points of interest and airport. I would love to see a marketing campaign from Lextran to destigmatize the bus system and encourage ridership from more visitors and Lexingtonians. Getting crazy for a minute…I’m thinking a Keeneland party bus from downtown to the airport and track during the season. The bus can be decorated, there can be a dj on board, it could become a real part of our culture.

More affordable housing, more community and green space, less huge parking lots.

Fewer closed neighborhoods, more connectivity. ",Comp Plan Relevant,"Rural Greenspace Conservation,Public Transportation,Connectivity,Housing Affordabiilty,Urban Greenspaces,Amenities & Quality of Life,Walkability / Bikeability / Accessibility,Parking,Style of Development"
23,"Wonderful experience! Intimate setting with discussion on matters/concerns relevant to my family and our city. Lexington needs a solar powered trolley that connects and travels through all the major points of interest and the highways. New neighborhoods need to be designed as master planned communities to include schools, parks, bike lanes, fire station, libraries, and grocery stores. We need more cultural points of interest to keep our economy flowing and to draw more visitors to come stay for longer than a drive by visit. Safe designated bike lanes are a must. Downtown Main Street needs a major overhaul with lots of shops and restaurants that encourage locals, in particular families and young adults to walk around for pleasure. ",Comp Plan Relevant,"Public Transportation,Environmental Sustainability & Resiliency,Style of Development,Amenities & Quality of Life,Urban Greenspaces,Walkability / Bikeability / Accessibility,Economic Development"
24,I would like to feel safer walking home from downtown and central  composting. ,Comp Plan Relevant,"Safety,Recycling & Composting"
25,A housing first model to addressing homelessness. ,Comp Plan Relevant,Social Services
26,"It was a great conversation. We spoke more about homeless options and needing more approaches to help.
Still focused on making downtown better. ",Comp Plan Relevant,Social Services
27,"Great discussion! I would absolutely love to see a bike lane along old paris road. Lots of people are biking and walking on that road anyway and vehicles go way too fast. A bike lane would make access to downtown much more convenient and safe. Additionally, anything that the city can do to promote outdoor recreational activity would be a huge asset to the city of Lexington! ","Positive,Comp Plan Relevant","Walkability / Bikeability / Accessibility,Traffic Calming / Safety,Government Education"
28,The overall experience was excellent! I learned about “housing first” in helping cut down on homelessness and would like to see it implemented in Lexington I’m the next 5 years to add to revitalizing downtown Lexington. Expanding the recycling programs would be beneficial to our overall environmental impact. Addition bike paths and bringing back trolleys would be great for public transit. Decreasing crime and revitalizing downtown is paramount to the success of Lexington’s future!,Comp Plan Relevant,"Social Services,Recycling & Composting,Economic Development,Environmental Sustainability & Resiliency,Walkability / Bikeability / Accessibility,Public Transportation,Safety"
29,Great experience learning from others with a historic knowledge of Lexington,Positive,
30,"Great experience! Talked about a lot of great things. I learned that a lot of people support maintaining the USB, promoting and revitalizing downtown, supporting public transportation so that it’s more useful, and creating more adult/vocational training programs. We also learned of an idea to help with homelessness - housing first policy, and people seemed supportive of it. ",Comp Plan Relevant,"Urban Services Boundary,Economic Development,Public Transportation,Workforce Training,Social Services"
31,It was nice to hear other peoples opinions and thoughts. ,Positive,
32,"Lots of great ideas like green space and walkability scores for new developments, studying and emulating what people think of as great examples of new development.

Also workshops, resources, and a handbook for neighborhood associations to help create & support NAs, especially in underrepresebted communities. ",Comp Plan Relevant,"Urban Greenspaces,Rural Greenspace Conservation,Walkability / Bikeability / Accessibility,Style of Development,Government Services,Government Education"
33,This was a great conversation! An hour wasn’t really enough time to get through all the questions given the number of people in our group. ,"Positive,Specific Feedback",
34,I learned the importance of neighborhood groups and that they need to be implemented more within every neighborhood.,Comp Plan Relevant,Amenities & Quality of Life
35,Great experience and so glad that the community is asked to share their input in this way.  Excited to see the legacy trail finish and new ways to tie outerlying communities to downtown communities.,"Positive,Comp Plan Relevant","Walkability / Bikeability / Accessibility,Connectivity"
36,This was a very informative discussion.  There were some suggestions that I had not considered before.,Positive,
37,This is a really interesting group that meets. I didn’t know groups like this met to gather information for the city’s comprehensive plan. ,Positive,
38,What a great event!  Thanks to Bluegrass Greensource for hosting the event!  ,Positive,
39,It was very interesting to hear others' perspectives and learn from others. We had nice discussion.,Positive,
40,"It was a very nice small discussion group, with good ideas. ",Positive,
41,This experience was very informative and allowed me to get a sense of the grass roots movement that parts of our local govyand community are coming together.  ,Positive,
42,Good Conversations! Could get a little sidetracked but lots of valuable information was discussed.,"Positive,Specific Feedback",
43,"Yes, I’ve learned some things in my on the table conversation. I think having a committee with different ethnicities played a big part in today’s conversation. ",Specific Feedback,
44,"Fantastic! Great to meet new people and hear new, diverse perspectives. These conversations need to be ongoing, to deepen, to build momentum, to build bridges across deeply (in many cases) divided and segmented populations. Thank you for sponsoring!",Positive,
45,"I loved the experience! On the table is a great idea. Also the incentives idea to help promote more walking, biking, and use of bus options was good. We as a city should promote better health and using public options.","Positive,Comp Plan Relevant","Walkability / Bikeability / Accessibility,Public Transportation"
46,Thanks for this!,Positive,
47,I learned a lot about the urban service area and housing in a Lexington ,Comp Plan Relevant,Urban Services Boundary
48,It was great! The conversation was great and productive. ,Positive,
49,I liked hearing from so many diverse perspectives!,Positive,
50,"Public transportation, bike lanes, zero waste, resources should be spread to harsh parts of town, and housing should be more affordable! ",Comp Plan Relevant,"Public Transportation,Walkability / Bikeability / Accessibility,Environmental Sustainability & Resiliency,Economic Equity,Diversity / Equity / Inclusion,Housing Affordabiilty"
51,"It was great. I learned a lot about what the city needs. I learned that Lexington lacks a lot of accessible cross walks and parks
",Comp Plan Relevant,"Walkability / Bikeability / Accessibility,Urban Greenspaces,Rural Greenspace Conservation"
52,"This experience was great ! I learned more about how others feel about Lexington, and I felt like I am able to better understand why people feel the ways they do. I am excited to see what else people have to say when I continue this conversation in my life.","Positive,Document",
53,"It was good to here others peoples different perspectives on issues in our communities.

Nope",Positive,
54,"Very helpful these type of conversations are needed to bring awareness and insight to what is going on and what needs to be done and our host Shirley Carter was very helpful
",Positive,
55,"This was a great experience. I learned that some areas of Lexington are better taken of than others, that the homeless population is growing with no where to go, Lexington is developing and still has room for improvements. ",Comp Plan Relevant,"Infrastructure & Utilities,Social Services"
56,Found the discussions to be thoughtful. ,Positive,
57,"Yes, lots of discussion ",Positive,
58,"More infill, hold the urban service boundary. ",Comp Plan Relevant,"Infill & Redevelopment,Urban Services Boundary"
59,Great conversation! I did not change my mind but am feeling hopeful that so many people feel the same way as I do. ,Positive,
60,Not so much changed but definitely expanded my understanding of all the issues! I really enjoyed the conversation and hearing from neighbors!,"Positive,Document",
61,"Didn’t change my mind, but it was good to hear the opinions of others—we’re not so far apart when it comes to our hometown.  ","Positive,Document",
62,"I was refreshed to hear so many other people in Lexington sharing the same concerns I do (affordable housing, green space, better bike lanes, more safety net services); I was also pleased to hear from a person named Libby who works in the planning department and who attended our meeting that there are plans to run buses to Nicholasville in the works (and hopefully more in the future!)","Positive,Comp Plan Relevant","Housing Affordabiilty,Urban Greenspaces,Rural Greenspace Conservation,Walkability / Bikeability / Accessibility,Safety,Infrastructure & Utilities,Public Transportation,Connectivity"
63,Very informative. Glad I attended. ,Positive,
64,Great. Yes. No.,Positive,
65,A like minded group with a variety of expertise areas. I feel supported that ideas I have have broad support. ,Positive,
66,"No, however, I learned so much from the other participants.  All of these issues are critical to ensure Lexington is still a wonderful place to live in 20 years.  ",Positive,
67,Great group! Terrific conversation. ,Positive,
68,"Thank you for organizing this event! I am haply to have a voice in the future of our city.

A key part of our future success will be attracting new businesses and opportunities to the city. We have to create direct financial incentives for this but we also have to build a culture and environment that is attractive to outside investors and workers. Lexington needs to continue on its path to becoming a vibrant, energetic city with lots of hospitality and entertainment options as well as good public schools and affordable homes.","Positive,Comp Plan Relevant","Economic Development,Diversity / Equity / Inclusion,Amenities & Quality of Life,Public Education,Housing Affordabiilty"
69,"I think the biggest takeaway is that our planning policies and decisions need to be developed with residents in mind, not investors or people who want second homes, or house flippers. But Lexington should be liveable for people who live here.",Comp Plan Relevant,Rental Issues
70,The experience was awesome! I learned so much about how the upper levels of planning in the city work which was extremely enlightening. My understanding of some of my answers has definitely increased ,Positive,
71,"This was great! I learned so much about the nuances of federal/state/municipal ownership and laws, and barriers to changing Lexington. I loved imagining a better Lexington with my fellow Lexingtonians! ","Positive,Document",
72,I appreciate the opportunity to communicate with a diversity of people.  I learned about trees and environmental issues...,"Positive,Comp Plan Relevant","Trees,Environmental Sustainability & Resiliency"
73,Great conversation. I enjoy listening to others ideas. I am actually hosting an On The Table in my classroom soon and this was so very educational for me. I hope that someone is listening to what was said tonight and attempt to look into some of these solutions.,Positive,
74,This was an awesome experience. I loved hearing other people's perspectives on issues. It opened my eyes to other problems that might not be occurring in my neighborhood but is occurring in others.,Positive,
75,"Please place a higher emphasis on infill development, NOT expanding the urban service boundary and increasing our urban tree canopy. ",Comp Plan Relevant,"Infill & Redevelopment,Urban Services Boundary,Trees"
76,"This was great! I learned so much from my conversation about the interaction of state and local government. I don’t think I necessarily changed my mind, but I was presented new ideas. I think that crosswalks and bike paths are essential. Climate needs to be addressed urgently.","Positive,Comp Plan Relevant","Walkability / Bikeability / Accessibility,Environmental Sustainability & Resiliency"
77,It was most enjoyable. Good discussion and hopeful. People care about their neighborhoods.,Positive,
78,I did learn a lot but I’m not sure if I have changed my mind on anything. Need some time to ruminate. I enjoyed the opportunity to meet some neighbors and learn about their concerns.  This was a well run table and a really kind and enjoyable conversation. We have more in common than we think. ,"Positive,Document",
79,Good to talk with others. I didn’t change my thinking very much. Some things were confirmed. Good process. ,Positive,
80,"Good experience, good conversation and helpful to follow the injects under question. Dave Sevigny is a great group leader and keeps time well",Positive,
81,"Great conversation! Learned more about payroll vs sales taxes,

I also support  small transportation options like vans and imagine Nicholasville road!  Very grateful for this opportunity ","Positive,Comp Plan Relevant",Public Transportation
82,"*change (not chance) ;)
I learned a bit more about NAACP organization and appreciate that they hosted this.

The Lexington Police Department does NOT respond to shootings in the Charlotte Price neighborhood in a timely manner; they don't seem to take the problem seriously.  Neither does Mayor Gorton nor Chief Weathers. ",Comp Plan Relevant,Safety
83,"I like the discussion, but still sticking with most of my thoughts.  I really did like my group though.  ",Positive,
84,Dave Sevigny was a great host. Kit was a great addition and deserves a salary increase. I did not change my mind about my answers.,Positive,
85,"I really enjoyed this set up. I am new to Lexington and got to learn a lot about the community in general. I also learned about the Community Environmental Academy, which I hope to participate in. Dave was a great host. ",Positive,
86,My 1st OTT - glad I could be a part. I love the diversity of thought.,Positive,
87,"Really liked the environment, small groups with diverse sets of people.  These types of meetings should be an ongoing thing councilpersons should continue to do.

Was very interesting to hear ideas from others that don't typically get into the news (e.g., combining school bus and lextran, general family help/support)","Positive,Comp Plan Relevant,Document","Public Transportation,Social Services"
88,"I learned that most people in our little group agreed with me, and we bounced lots of ideas off each other that all sounded great. Just the experience of this discussion brings to mind many more changes that I want to see and may get involved with.",Positive,
89,"Yes, i think there should be more trees in neighborhoods and better traffic lanes
",Comp Plan Relevant,"Trees,Traffic Calming / Safety"
90,I learned more development to downtown is needed along with better organized public transit. More pedestrian access to neighborhoods would be better and well appreciated.,Comp Plan Relevant,"Infill & Redevelopment,Public Transportation,Walkability / Bikeability / Accessibility,Connectivity"
91,"The experience was great! We talked about many issues within Lexington and I learned a lot
about other neighborhoods. I believe we should prioritize more jobs downtown and the many transportation problems there are, for example, faded road lines, main street, bad intersections, unnecessary red lights when there could have been flashing yellows. Other than that, more events for each neighborhood more regularly would make neighborhoods feel more homey.","Positive,Comp Plan Relevant","Wages / Benefits,Public Transportation,Infrastructure & Utilities,Traffic Calming / Safety,Amenities & Quality of Life"
92,"I did not change my mind, but we also had discussion on sequencing of stoplights especially coming from a side road and not lasting long enough to get more than 2 cars thru and also making sure lines are clear and painted so our young drivers can see them at night and in rainy weather. ",Comp Plan Relevant,"Traffic Congestion,Infrastructure & Utilities,Traffic Calming / Safety"
93,We were generally in agreement. Traffic questions were very important. We had a productive time,"Positive,Comp Plan Relevant",Traffic Congestion
94,Loved it!  We discussed the importance of infill of downtown and improvement of public transportation.  ,"Positive,Comp Plan Relevant","Infill & Redevelopment,Public Transportation"
95,The conversations was really enlightening.  Many ideas were mentioned that would not have normally crossed my mind.  ,Positive,
96,I think Lexington needs more opportunities for this kind of public input. I believe our local government should be way more proactive in seeking this kind of public input as well and then transparently show and prove that the input is being implemented in a culturally responsive and equitable way. ,Document,
97,"We all love Lexington and want to continue to work to make it an amazing place to live, love, learn and work.","Positive,Document",
98,I learned about transportation and community issues and sharing ideas is a great way to learn and teach and network.,Comp Plan Relevant,
99,Transportation and  housing is a big issue.  Lexington is not a place where all people can succeed financially.  Middle class is phasing out.  It is all reflective on the classroom.,Comp Plan Relevant,"Public Transportation,Housing Affordabiilty,Economic Equity,Public Education"
100,"Great! I enjoyed the opportunity to meet coworkers who I had known only by name.  To see what issues they had and hear possible solutions.  It seemed that the workflow goes:

issues with succeeding financially -> better education, new education practices, project based learning -> local business, financial success -> improved community ","Positive,Comp Plan Relevant,Document","Public Education,Economic Development"
101,"It was a fabulous opportunity to voice concerns and celebrate the great things happening in our city of Lexington.

It was great to see how most conversations were so closely aligned to education.  We understand the importance and commitment to providing the best educational experiences in our city.  We know our future growth is directly aligned with how well our students are learning and the experiences we are providing.
","Positive,Comp Plan Relevant",Public Education
102,I think the on the table should bring about change. We are the community ,Positive,
103,I would like to add that neighborhoods should be made to be kept up in the lower as well.as higher income areas ,Comp Plan Relevant,
104,We could benefit from high rise buildings for housing. ,Comp Plan Relevant,Style of Development
105,"Education, Affordable Housing, Programs for yourh",Comp Plan Relevant,"Public Education,Housing Affordabiilty,Social Services"
106,"Informative and agreement that Lexington needs more affordable housing, better paying jobs, more money to be put into our education, our public transportation, and our lower income neighborhoods ",Comp Plan Relevant,"Housing Affordabiilty,Wages / Benefits,Public Education,Public Transportation,Economic Equity"
107,"The discussion brought a few more things to light that I didn’t previously note. Mostly surrounding YOUTH. Opportunities for inner school skills training, more funds within utilized for specialized needs (speech, disabilities, dyslexia, assessments and specialized planning with ENOUGH STAFF) as well as after school affordable options and programming. Options for affordable trade schools. City accessing and taking the empty building and utilize for affordable or income based housing",Comp Plan Relevant,"Public Education,Housing Affordabiilty,Infill & Redevelopment"
108,Excellent experience.  Loved hearing all of the different perspectives from the attendees.  Hope to see a positive change in the future of Lexington.,Positive,
109,"It was an informative session.  I learned about elements of Lexington development and zoning I was not aware of.

I wasn't seeking a mind change, however, I've been enlightened by the information I was given.

I enjoyed the discussion. ","Positive,Document",
110,Found it interesting to hear others point of views and opinion. I was thinking we would hear about what the plans are on the city not what our opinions are. Would like to hear more from the city about their thoughts and plans. ,Specific Feedback,
111,We need to hold the members of our community with the most to gain from growth to do more to contribute to leveling the playing field.,Comp Plan Relevant,
112,The experience was good and interesting.  Very different from and broader than a traditional Comprehensive Plan input session from many years ago. I hope the input is helpful to the plan update and to broader visions for the future of Lexington.,Positive,
113,"This experience was wonderful, yes I learned about this kind of event .",Positive,
114,I really enjoyed this table. I learned about different opportunities in Lexington and problems others have that I have not experienced.,"Positive,Document",
115,Awesome! Great discussion and relevant topics! Makes me feel hopeful!!,Positive,
116,This was a wonderful experience.  It was great to hear the different perspectives from members of the community. It really allowed me to see different perspectives and the need for us to work together as a community. ,Positive,
117,I thought it was a really great to talk to everyone. It was a positive experience and easy to talk about things. I learned something from everyone,Positive,
118,"Excellent. Yes, I was able to hear so many different perspectives from people all over the community.

My answers are still the same, but I am now aware of the concerns of many more of our community areas. ","Positive,Document",
119,Good experience. Maybe didn’t change mind but have greater appreciation for other perspectives. ,Positive,
120,"I was glad to see our councilwoman, Jennifer Reynolds, at our table. I want to see the results of the survey. Wish we had more participation from younger residents. ","Positive,Specific Feedback",
121,It was a great conversation. I attended the event at The Garage bar.,Positive,
122,Always excellent   Good input from everyone. ,Positive,
123,It was very surprising how much everyone at our table agreed on each topic. The biggest issue for all of us was the need for affordable housing. ,"Positive,Comp Plan Relevant",Housing Affordabiilty
124,Very good discussion with good ideas.,Positive,
125,Positive conversation about the role that local government needs to plan to be proactive about issues. Topics brought up both general topics as well as allowed people to have specific examples in their neighborhoods.  ,Positive,
126,"This was a great opportunity to talk with people (most of whom I didn't know) about Lexington and it's growth.  I did not particularly find my mind changed by the conversation, but I did hear a lot of great ideas for how Lexington might address the question of ""what does a climate resilient Lexington look like?""  There many great ideas around this topic, from things that individual homeowners can do, to needed policy changes, to things that need to be incorporated into long-range planning.  There was a lot of agreement that we need a more walkable Lexington with a more flexible bus system, better connectivity among neighborhoods (across spokes), and greater attention to low income and homeless residents.","Positive,Comp Plan Relevant,Document","Environmental Sustainability & Resiliency,Walkability / Bikeability / Accessibility,Public Transportation,Connectivity,Social Services"
127,"I learned a bit more about Lexington's 20-year plan. We also discussed the question of expanding the urban service boundary. I would prefer that Lexington did not do this, and instead left the farmland surrounding the city as farmland, and worked to make better use of all the space we already have inside that boundary. There's so much we can do with that space - developing denser and more walkable neighborhoods, building more affordable housing, expanding our excellent public transportation, and filling in underutilized space. Think of how much space we could reclaim if we weren't so reliant on cars - all those roads and parking lots we could repurpose!","Positive,Comp Plan Relevant","Urban Services Boundary,Rural Greenspace Conservation,Walkability / Bikeability / Accessibility,Housing Affordabiilty,Public Transportation,Infill & Redevelopment"
128,it was useful hearing other ideas. Alex and other moderators should not also be participants,"Positive,Specific Feedback",
129,"Before this discussion, I was happy with Lexington and couldn’t think of much to improve it, but now I can think of several things that we could work toward.
Thank you for hosting this meeting and for inspiring thoughts about efforts that could enhance our fair city and the experience of living here!",Positive,
130,"Its good to have a conversation among people from different areas of the city. We all felt alike about many of the things that are troubling our city. So there is much work to be done, specially in the area of mass transportation and parking in downtown.","Positive,Comp Plan Relevant","Parking,Public Transportation"
131,This was great and the best thing was to meet a new neighbor! I also learned how much people care about native plants and wildlife gardening at the household level. I didn't really change my mind. But I appreciated hearing different angles on issues I care about.,Positive,
132,Great conversation and great points. ,Positive,
133,Great opportunity for discussion. ,Positive,
134,I really appreciate the free family events Lexington was doing pre COVID-19 and look forward to those coming back. I learned that gas leaf and snow blowers are bad for the environment. ,Comp Plan Relevant,"Amenities & Quality of Life,Environmental Sustainability & Resiliency"
135,"Was good!
",Positive,
136,I liked listening to neighbors and their concerns.  ,Positive,
137,Did not change my mind on any of the topics. ,"Positive,Negative",
138,Enjoyed the opportunity for input and to hear from others.  My answers really did not change. Great ideas shared. ,Positive,
139,"Good discussion.  Lots of great ideas!  No, I didn’t change my mind but expanded my thoughts",Positive,
140,"Good experience. A lot of good ideas and consensus. Emphasis on Dedicated, safe, bike paths, preservation of green spaces and avoiding sprawl, walkable areas allowed by changing residential zoning ordances permitting mixed use and business within neighborhoods. Renters and landlords should also have equal say on housing issues. Landlords being kept accountable. And I was happy to learn about the law allowing natural lawns. I learned about local programs and projects. I like the idea of city trade-ins to get rid of things like gas yard machines","Positive,Comp Plan Relevant","Walkability / Bikeability / Accessibility,Rural Greenspace Conservation,Style of Development,Rental Issues,Government Services"
141,"Excellent experience!  Learned my neighbors are smart, caring individuals!  We love our neighborhood and our city!

","Positive,Document",
142,I didn’t change my mind.  Enjoyed our group’s enthusiastic discussion.,Positive,
143,"Yes, more cops on the ground from Short St north walking the beat. Neighborhood cops are the answer to reduce the crime and make the downtown safe!",Positive,
144,"No, some new items but nothing changed",Positive,
145,Learned a lot of caring people who want Lexington to progress but keep its small town charm. ,Positive,
146,"Lots of issues and concerns were mentioned, but there are no simple solutions to such complex issues. I hope Lexington densifies soon rather than later.",Comp Plan Relevant,Style of Development
147,Enjoyed sharing with the group. Did not change my mind about anything.,Positive,
148,"Idea:   Academics and professional groups team with neighborhoods for job training programs, design charretes and creative solutions to other community challenges.
Idea: city commit to free Wi-Fi for all - support job creation ",Comp Plan Relevant,"Workforce Training,Infrastructure & Utilities,Economic Development"
149,Yes. The meeting clarified several issues that I need to think about based on the variety of diverse ideas of the participants ,Positive,
150,"It was Very interesting.
I learned a lot",Positive,
151,"A good experience over all. I learned that more people have similar views as mine in my neighborhood. No, my answers stayed the same. I’m glad Lexington had an On the Table and hope to do something like this again. I want to see real change in our city even if the only power I have is to use my voice. Lexington is the perfect mix of urban city and rural and doesn’t need to expand; just improve on what we already have. ","Positive,Comp Plan Relevant",Style of Development
152,This was a great conversation. I think there needs to be more discussion on affordable housing in this area. Many families with low SES are struggling to find places to live. ,"Positive,Comp Plan Relevant",Housing Affordabiilty
153,Always a good opportunity to have conversation with folks outside of my personal circle. Different perspectives are vital. ,"Positive,Document",
154,Great conversation. Learned about some of the factors influencing traffic patterns. ,"Positive,Specific Feedback",
155,It was good! ,Positive,
156,It was a great experience to talk with others about the city. We had a great conversation about transportation ,"Positive,Comp Plan Relevant",
157,We needed more time to discuss. ,"Suggestion for Future,Positive,Negative",
158,Loved it. Great convo. Thanks. ,Positive,
159,We need to market the liveability of our city to attract young people — that will require intentional planning to ensure young people can afford to live here.,"Positive,Comp Plan Relevant",Housing Affordabiilty
160,Fantastic!  Thanks for making this possible!,Positive,
161,It was a good experience. I did learn something new.,Positive,
162,It was a great event and discussion. ,Positive,
163,Glad our city is full of so many thoughtful leaders!,Positive,
164,Great experience. Learned why some people would be against bus transit. ,Positive,
165,This was a wonderful experience. Thank you. ,Positive,
166,"Our problems, ideas, and solutions are INTEGRATED!",Positive,
167,I was exposed to issues in other parts of the city that was previously unknown. I learn alot and met some great Lexingtonians. I enjoyed the experience. ,"Positive,Document",
168,"Great discussion.  Not sure I changed my mind, but my view is better informed.","Positive,Document",
169,"The experience was great. I too was impressed by the Intellect at the table. We need to get the struggling people here too - working retail and not getting FT hours, etc.  Thank you ","Positive,Document",
170,We spent some time talking about affordable housing and transportation not it seemed that none of the folks that need that were AT. the table!,"Positive,Specific Feedback",
171,"It was wonderful. Hoping that ideas from the table
Come to fruition. Affordable housing is a must.  ","Positive,Comp Plan Relevant",Housing Affordabiilty
172,Lots to think about. Many good points made I hadn’t thought about. ,Positive,
173,Learned many opinions on different topics in a short amount of time ,Positive,
174,"The experience was great, it was incredible learning perspective of fellow members of the community. I did change my mind about some of the answers. I learned more about different issues and ideas from people at my table. ",Positive,
175,"There are no easy answers. It’s all a balance whether it be growth, affordable housing, transportation, etc.  but we can’t lose sight of the fact we are a wonderful
Community doing a lot of good things!",Positive,
176,"This was great, I most certainly did. While I didn’t change my mind, I am reinvigorate in my thoughts about affordable and accessible growth for all. ","Positive,Comp Plan Relevant",Style of Development
177,"Great to hear what’s on people’s minds.
Not so much ",Positive,
178,Informative ;  I was impressed with the apparent response to converting sidewalks on one side of the road to bike lanes ,Positive,Walkability / Bikeability / Accessibility
179,It was a very valuable experience and I appreciated meeting and engaging with members of the community. ,"Positive,Document",
