OTT Raw Data Response,Neighborhood Cluster,Neighborhood MC,Neighborhood - OR,Neighborhood Codes,Environment - MC,Environment - OR,Environment Codes,Jobs & Prosperity - MC,Jobs & Prosperity - OR,Jobs & Prosperity Codes,Transportation - MC,Transportation - OR,Transportation Codes,UR Balance MC,UR Balance - OR,UR Balance Codes,Lex - MC,Lex - OR,Lexington Codes,Gender,Age Range,Race,Race - Open Response,Highest Education Level,ZIP Code,Likely Council District
14,Tates Creek,"I like living in my neighborhood, but it could use some changes.",Lower speed limit,Traffic Calming / Safety,"Yes, I think protecting the environment should be a high priority",More trees,Trees,I think that only some people can succeed financially in Lexington,Higher minimum wage,Wages / Benefits,"I think walking, biking, and public transit are more important for the city to prioritize",More sidewalks,Walkability / Bikeability / Accessibility,"I think growth in Lexington is a good thing, depending on how it happens",,,"I like living/spending time in Lexington, but it could use some changes",Less police presence,Safety,,,,,,,8
15,Campus,"Yes, I like living in my neighborhood.",New streets ,"Infrastructure & Utilities,Connectivity",,,,,,,,,,,,,,,,,,,,,,Unknown
16,Lansdowne / Glendover,"I like living in my neighborhood, but it could use some changes.",speed tables on pepperhill ,Traffic Calming / Safety,"I think protecting the environment is good, but it shouldn't be a high priority","punishing persons who use guns in the execution of a crime make them serve the time and don't let them out on bail or parole. Same with stealing, burglary.  ",,I think everyone can succeed financially in Lexington,If they work and if they don't expect something for nothing everyone can make a living to many programs for freeloaders get rid of them and others will succeed .,,I think it’s more important for the city to prioritize cars,"if you use the roads for bikes, you need a license plate and insurance and a helmet. if you don't pay for these things then stay on the side walks. if you walk in street and you get hit especially at night in dark clothing its your fault.Busses need to be smaller and have lanes designed to pull over letting traffic get around or they don't need to be on that street.",Traffic Calming / Safety,I think growth in Lexington is a bad thing,"streets too small and the water runoff high, houses to close together is bad narrow streets.rules should be if you can't park two firetrucks side by side and still can't get a ambulance in, streets to narrow. if you want to build you have to rehab 4 houses for everyone you build new. Apartment dwellers need to get a bill from the property tax man every year for schools not the landlord.","Water Infrastructure / Quality,Safety,Traffic Calming / Safety,Style of Development","I like living/spending time in Lexington, but it could use some changes",spend less on homeless more on family and getting manufacturing and industry to move here,"Social Services,Economic Development",Male,60-70,Other,,Master's Degree,40502,5
17,Beaumont,"Yes, I like living in my neighborhood.",,,"Yes, I think protecting the environment should be a high priority",Improve traffic flow. Minimize gasoline vehicles in government.use more renewable resources in construction. Concrete is an industry that produces far more greenhouse gasses than most realize. Encourage actual recycling.,"Traffic Congestion,Environmental Sustainability & Resiliency,Recycling & Composting",I think that only some people can succeed financially in Lexington,Appropriate wages. Many poor have to work multiple jobs and will never afford a house. Affordable housing.,"Wages / Benefits,Housing Affordabiilty","I think it is equally important for the city to prioritize cars, walking, biking, and public transit",Traffic engineers could result many intersections for better traffic flow.,Traffic Congestion,I think growth in Lexington is a bad thing,"I was born and raised here (born 1962). The politics of growth here has been horrible. Terrible planning years back, so so today.",Style of Development,"I like living/spending time in Lexington, but it could use some changes",Control/plan growth and traffic.,"Traffic Congestion,Style of Development,Connectivity",Male,50-60,White,,Master's Degree,40514,9
18,Woodland / Chevy Chase / Ashland,"Yes, I like living in my neighborhood.",,,"Yes, I think protecting the environment should be a high priority",quit cutting down trees,Trees,I think that only some people can succeed financially in Lexington,,,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",,,,"Cautiously
(Transcriber note: no selection was checked)",Style of Development,"Yes, I like living/spending time in Lexington",,,Female,70-80,,,More than Master's Degree,40502,5
19,Northside,"I like living in my neighborhood, but it could use some changes.",Enhancement to roadways that would result in less traffic.,Traffic Calming / Safety,"Yes, I think protecting the environment should be a high priority",More effective and efficient use of green spaces that would result in growth of the green space.,"Style of Development,Urban Greenspaces",I think very few people can succeed financially in Lexington,"Lower costs of living for necessities like rent, gasoline and grocery prices.",Rental Issues,"I think walking, biking, and public transit are more important for the city to prioritize",Investing in public transportation to provide more options and less travel time when using public transportation. ,Public Transportation,"I think growth in Lexington is a good thing, depending on how it happens",Growth should happen in a way that efficiently uses spaces already occupied by buildings and structures without killing vital green spaces around the city.,"Infill & Redevelopment,Urban Greenspaces","I like living/spending time in Lexington, but it could use some changes",More opportunities for entertainment without the prices continually increasing every time a new opportunity is added.,Amenities & Quality of Life,Male,30-40,"Black / African-American,Hispanic / Latino,White",,Bachelor's Degree,40508,1
20,Masterson / McConell's Trace / Coldstream,"I like living in my neighborhood, but it could use some changes.","I think more places to eat, to shop and more things we could do. We are blessed to be close to a park when certain big events happen but we are lacking in the retail spaces and eateries. The garage up the street is a blessing but more bars would be nice too. Maybe a brewery location to help bring the community together. Social outlets, more grocery options and more 24 hour locations would be nice to help with shopping needs. ",Amenities & Quality of Life,"Yes, I think protecting the environment should be a high priority","We need to have more guidelines about protecting our wildlife spaces, encouragement in recycling efforts, more neighborhood cleanups, programs that teach and encourage safe environment techniques to help keep nature safe and more. ","Government Services,Recycling & Composting,Environmental Sustainability & Resiliency",I think that only some people can succeed financially in Lexington,We need more jobs listed that include salary ranges and what jobs paid. By not listing salaries we are pigeon holding people into jobs based on employer needs instead of the success of the actual employee. By listing salaries or hourly pay this provides equal opportunities for everyone to not wasted time and apply for jobs that are within what they need to substain their way of life and cost of living. It also helps with equity. ,Economic Equity,"I think walking, biking, and public transit are more important for the city to prioritize",Yes! We still have a long way to go but we need to provide more ways we can bike and walk. ,Walkability / Bikeability / Accessibility,I think growth in Lexington is always a good thing,We need to always encourage growth. It hurts our City if we don’t ,Style of Development,"Yes, I like living/spending time in Lexington",More attractions and ways to get involved. ,Amenities & Quality of Life,Male,30-40,White,,Master's Degree,40511,2
21,Picadome / Pensacola,"Yes, I like living in my neighborhood.","1) a safe way to cross Nicholasville Road to get to the Arboretum
2) no more rush hour lane switching on Nicholasville Road - leave the center lane as the turn lane always",Traffic Calming / Safety,"Yes, I think protecting the environment should be a high priority",continued focus on tree planting; discourage lawn watering and encourage lawns and gardens that feed birds/bees (participate in No Mow May!),"Trees,Environmental Sustainability & Resiliency",I think that only some people can succeed financially in Lexington,I don't know enough to answer,,"I think walking, biking, and public transit are more important for the city to prioritize","Honestly, this seems like a tall order. I do not feel safe biking or walking along Nicholasville Road and I'm not sure what can be done to change that. Public transit would be great, but the bus stop isn't even close to Kroger, which is what I would use it for most. Not feasible. ",Public Transportation,"I think growth in Lexington is a good thing, depending on how it happens",Up. There are lots of sprawling lots along Nicholasville Road's commercial section that could be rebuilt with the same retail space on the ground floor and lots of housing on top of it. ,Style of Development,"Yes, I like living/spending time in Lexington",,,Female,50-60,White,,Bachelor's Degree,40503,10
22,Lansdowne / Glendover,"Yes, I like living in my neighborhood.",,,"Yes, I think protecting the environment should be a high priority",Environmental issues affect every part of our lives. And climate change will make it more important.,Environmental Sustainability & Resiliency,I think that only some people can succeed financially in Lexington,"Some people simply do not have the skills, education or incentive to work toward a good. Generationally they are at a great disadvantage.",Economic Equity,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",A lot of Lexington cannot be retroactively fit for safe biking & walking. New areas should.,Style of Development,"I think growth in Lexington is a good thing, depending on how it happens",,,"I like living/spending time in Lexington, but it could use some changes",,,Female,60-70,White,,Bachelor's Degree,40502,3
23,Lakeview / Chinoe,"I like living in my neighborhood, but it could use some changes.","1. Establish a neighborhood council so we could be eligible for city grants.
2. Plant more sidewalk trees in the neighborhood. The Bradford pear trees are gradually being cut down and many are not replaced.
3.  Also neighbors cut down healthy trees for their own personal convenience. For example, a new neighbor at corner of Blairmore Rd and Blairmore Court had a beautiful large sweet gum tree cut down recently. I felt very sad.","Amenities & Quality of Life,Trees","Yes, I think protecting the environment should be a high priority","More trees.  More bike-walk trails.
 Enlist more people in neighborhood recycling and encourage people to use composters for kitchen wastes.
At boundary of Baptist Hospital and UK Shawneetown apartments, lots of people smoke and leave their cigarette stubs which go into the runoff water.","Trees,Walkability / Bikeability / Accessibility,Recycling & Composting,Environmental Sustainability & Resiliency,Water Infrastructure / Quality",I think that only some people can succeed financially in Lexington,,,"I think walking, biking, and public transit are more important for the city to prioritize","Offer free and frequent bus service to downtown (traffic on Nicholasville Rd is terrible.)
Companies and UK offer incentives for employees to ride bikes or use mass transportation.
UK not allow freshmen to have cars on campus!","Walkability / Bikeability / Accessibility,Public Transportation,Economic Equity",I think growth in Lexington is a bad thing,"Lots of people think Lexington should grow.The Planning Commission and urban county government take it as an unchallenged given that Lexington should grow in population. But many of us live in Lexington because of its quality of life. More traffic and more infill reduces quality of life. What’s wrong about Lexington staying the size it is of about 300,000?","Infill & Redevelopment,Traffic Congestion,Amenities & Quality of Life,Style of Development","Yes, I like living/spending time in Lexington",Quit pushing for more growth. Too many developers influence Planning Commission and urban county council out of their own self interest.,Style of Development,Female,70-80,White,,More than Master's Degree,40502,5
24,Picadome / Pensacola,"Yes, I like living in my neighborhood.",More home owners and less renters.,Rental Issues,"Yes, I think protecting the environment should be a high priority",Lexington is making efforts to protect the environment but it could be better,Environmental Sustainability & Resiliency,I think that only some people can succeed financially in Lexington,Not sure.,,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit","Make LEXTRAN more efficient on routes and times and keep costs down.
Increase routes and make using mass transit easy.",Public Transportation,"I think growth in Lexington is a good thing, depending on how it happens",Re-purpose existing buildings even if the expense is greater.,Infill & Redevelopment,"Yes, I like living/spending time in Lexington",I think we might could get more city-wide events to include all.,"Amenities & Quality of Life,Government Services",Female,50-60,White,,Bachelor's Degree,40503,10
25,Winburn / Radcliffe,"Yes, I like living in my neighborhood.","   Griffin Gate is a private neighborhood, thus I think this question is not applicable.",,"Yes, I think protecting the environment should be a high priority","1) Encourage walking and bicycling where possible.
2) Set up tax incentives to encourage businesses to locate close to neighborhoods so people don't have to drive as much.
3) Keep the present urban boundaries to stop urban sprawl. In so doing, preserve our remaining green space and contribute to the feasibility of '1' and '2' above.","Walkability / Bikeability / Accessibility,Traffic Congestion,Style of Development,Urban Services Boundary,Urban Greenspaces,Rural Greenspace Conservation",I think everyone can succeed financially in Lexington,"   I think it would help a great deal if more children grew up with good family structure that helps them with their education and places at least a moderate expectation on them to succeed by, along with with our educational institutions, teaching a good set of technical skills (that is, STEM) combined with arts and humanities that will help them to value character traits such as compassion and generosity.   ","Public Education,Workforce Training","I think walking, biking, and public transit are more important for the city to prioritize","   Stop building and expanding roads. It's tough medicine, I know, but if we're going to reduce the number of miles driven and the resulting congestion, we need to make it more pleasant for people to walk and bicycle than to drive. To do this:

   1) Make it feasible for people to walk and bicycle for most of their transportation needs (that is, walking/biking trails).
   2) Use tax incentives to encourage commercial businesses to build closer to neighborhoods.

     ","Walkability / Bikeability / Accessibility,Style of Development,Connectivity","I think growth in Lexington is a good thing, depending on how it happens","1) We must maintain the existing urban boundary.
2) This means that to accommodate more growth, we'll have to build up, not out.
3) There will come a time where we'll have to decide between growth and maintaining Lexington's character. I vote for the latter.","Urban Services Boundary,Style of Development","Yes, I like living/spending time in Lexington","   Stronger family structures which will foster:

a) Better education leading to good jobs and prosperity
b) Less poverty, hopelessness and substance abuse

   Establishing strong family structures where they don't exist today is difficult, but I think faith-based organizations can help, plus our schools and social services. We must finance our schools and social services properly to make these professions more attractive to young people and to train them properly.","Public Education,Wages / Benefits,Economic Equity,Social Services,Workforce Training",Male,70-80,White,,Bachelor's Degree,40511,2
26,Cardinal Valley / Alexandria,"I like living in my neighborhood, but it could use some changes.",More connected to nearby parks like McConnell’s springs or the one across Versailles road. The parks are so close but they are completely closed off to our neighborhood. More connected to downtown by bike lane or walking path/sidewalk. Would love to be able to safely access the new trail on Manchester. ,"Connectivity,Walkability / Bikeability / Accessibility","Yes, I think protecting the environment should be a high priority","Increase alternatives to car travel. Sidewalks, public transit, bike lanes, ride shares, etc. increased education on LOVAL impact of climate change and LOCAL action options like protecting waterways.","Public Transportation,Walkability / Bikeability / Accessibility,Urban Greenspaces,Public Education",I think that only some people can succeed financially in Lexington,Better public transit and better social services (safety net) for people on hard times. We love the HANDS program and LEXTRAN. ,"Public Transportation,Social Services","I think walking, biking, and public transit are more important for the city to prioritize","Rapid transit options, shuttles to satellite towns, bike lanes in ALL neighborhoods not just bougie ones. Safe options for bikes and walkers. Walking in Lexington is so dangerous. There are not even sidewalks on parts of Forbes and Nicholas like where the bus runs! How are people supposed to walk safely to the bus stop?","Public Transportation,Walkability / Bikeability / Accessibility","I think growth in Lexington is a good thing, depending on how it happens",Infill please. Develop parking lots and abandoned lots before farmland. ,Infill & Redevelopment,"I like living/spending time in Lexington, but it could use some changes","Access to parks, park care, access to our streams and rivers. Perhaps more public pools.","Urban Greenspaces,Rural Greenspace Conservation,Connectivity,Water Infrastructure / Quality,Amenities & Quality of Life",Female,20-30,White,,Bachelor's Degree,40504,11
27,Castlewood / Loudon,"Yes, I like living in my neighborhood.",,,"Yes, I think protecting the environment should be a high priority",,,I think everyone can succeed financially in Lexington,,,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",,,I think growth in Lexington is always a good thing,,,"Yes, I like living/spending time in Lexington",,,Male,30-40,White,,High School Diploma or equivalent,40509,1
28,Veterans,"Yes, I like living in my neighborhood.",,,"Yes, I think protecting the environment should be a high priority",Maintaining the parks and green space we currently have ,"Urban Greenspaces,Rural Greenspace Conservation",I think that only some people can succeed financially in Lexington,,,I think it’s more important for the city to prioritize cars,I think other means of travel are important as well but traffic is a constant issue in Lexington mostly due to new circle as it currently is. ,Traffic Congestion,,,,,,,,,,,,,4
29,Idle Hour / Woodhill,"Yes, I like living in my neighborhood.",,,"I think protecting the environment is good, but it shouldn't be a high priority","More opportunities for walkable spaces
Improved public transport
","Walkability / Bikeability / Accessibility,Public Transportation",I think that only some people can succeed financially in Lexington,"More free opportunities for job training esp with trades
Creative infill with housing that is affordable","Workforce Training,Style of Development,Housing Affordabiilty","I think walking, biking, and public transit are more important for the city to prioritize","Less downtown parking available
TOTAL OVERHAUL of Lextran","Parking,Public Transportation","I think growth in Lexington is a good thing, depending on how it happens","Incentives for infill
Tons of existing land within urban service boundary already","Urban Services Boundary,Infill & Redevelopment","Yes, I like living/spending time in Lexington","Better choices for affordable childcare
Improved public transport","Amenities & Quality of Life,Public Transportation",Female,30-40,White,,Master's Degree,40502,5
30,Cardinal Valley / Alexandria,"No, I do not like living in my neighborhood.",less drugs,Safety,"Yes, I think protecting the environment should be a high priority",,,I think that only some people can succeed financially in Lexington,,,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",shorter bus routes ,Public Transportation,I think growth in Lexington is always a good thing,more jobs,Economic Development,"I like living/spending time in Lexington, but it could use some changes",Top Golf,Amenities & Quality of Life,Male,20-30,White,,Associate's Degree,40504,11
31,Kirklevington,"Yes, I like living in my neighborhood.",Pretty good there,,"Yes, I think protecting the environment should be a high priority",More complete recycling.   More water quality reporting to public,"Recycling & Composting,Water Infrastructure / Quality",I think that only some people can succeed financially in Lexington,Better education pre-k thru college/tech  and career counseling.   Better jobs and higher wages.  ,"Public Education,Workforce Training,Wages / Benefits,Economic Development","I think walking, biking, and public transit are more important for the city to prioritize",,,"I think growth in Lexington is a good thing, depending on how it happens",,,"Yes, I like living/spending time in Lexington",,,Male,60-70,White,,More than Master's Degree,40517,Unknown
32,Bryan Station / Eastland,"I like living in my neighborhood, but it could use some changes.",We need WIFI access.,Infrastructure & Utilities,"I think protecting the environment is good, but it shouldn't be a high priority",trimming but also planting new trees and bushes,Trees,I think that only some people can succeed financially in Lexington,more job opportunities,Economic Development,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",TAX credit for car pooling,Public Transportation,"I think growth in Lexington is a good thing, depending on how it happens","build in town using infill
Also allow increase in urban county zoning. We need more family small houses","Infill & Redevelopment,Style of Development","Yes, I like living/spending time in Lexington",,,Female,60-70,White,,Master's Degree,40516,6
